Hypothesis File: output_preprocessing.tgt_after_adding_sentence_id
Reference File: post_edition_after_tokenizing_lowercasing.tgt_after_adding_sentence_id
Ave-Reference File: 
            Sent Id |  Ins |  Del |  Sub | Shft | WdSh |  NumEr |  AvNumWd |      TER
(id_TEST_WMT_475):0 |    0 |    0 |    2 |    1 |    1 |    3.0 |   18.000 |   16.667
(id_TEST_WMT_476):0 |    3 |    0 |    2 |    0 |    0 |    5.0 |   20.000 |   25.000
(id_TEST_WMT_477):0 |    0 |    0 |    1 |    0 |    0 |    1.0 |   15.000 |    6.667
(id_TEST_WMT_478):0 |    2 |    0 |    7 |    1 |    1 |   10.0 |   25.000 |   40.000
(id_TEST_WMT_479):0 |    0 |    1 |    0 |    0 |    0 |    1.0 |   37.000 |    2.703
(id_TEST_WMT_480):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |    8.000 |    0.000
(id_TEST_WMT_481):0 |    0 |    0 |    2 |    0 |    0 |    2.0 |    9.000 |   22.222
(id_TEST_WMT_482):0 |    3 |    0 |    4 |    0 |    0 |    7.0 |   18.000 |   38.889
(id_TEST_WMT_483):0 |    4 |    0 |    4 |    1 |    1 |    9.0 |   17.000 |   52.941
(id_TEST_WMT_484):0 |    0 |    2 |    8 |    1 |    1 |   11.0 |   50.000 |   22.000
(id_TEST_WMT_485):0 |    0 |    0 |    1 |    0 |    0 |    1.0 |   31.000 |    3.226
(id_TEST_WMT_486):0 |    1 |    0 |    5 |    0 |    0 |    6.0 |   11.000 |   54.545
(id_TEST_WMT_487):0 |    9 |    0 |   17 |    1 |    1 |   27.0 |   46.000 |   58.696
(id_TEST_WMT_488):0 |    0 |    1 |    1 |    0 |    0 |    2.0 |   16.000 |   12.500
(id_TEST_WMT_489):0 |    0 |    0 |    4 |    0 |    0 |    4.0 |   12.000 |   33.333
(id_TEST_WMT_490):0 |    0 |    1 |    2 |    2 |    3 |    5.0 |   32.000 |   15.625
(id_TEST_WMT_491):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |    5.000 |    0.000
(id_TEST_WMT_492):0 |    1 |    0 |    1 |    1 |    1 |    3.0 |   23.000 |   13.043
(id_TEST_WMT_493):0 |    0 |    0 |    3 |    0 |    0 |    3.0 |   18.000 |   16.667
(id_TEST_WMT_494):0 |    1 |    0 |    3 |    0 |    0 |    4.0 |   18.000 |   22.222
(id_TEST_WMT_495):0 |    0 |    0 |    1 |    0 |    0 |    1.0 |   12.000 |    8.333
(id_TEST_WMT_496):0 |    2 |    0 |    2 |    0 |    0 |    4.0 |   13.000 |   30.769
(id_TEST_WMT_497):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   59.000 |    0.000
(id_TEST_WMT_498):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   21.000 |    0.000
(id_TEST_WMT_499):0 |    0 |   11 |    2 |    2 |    2 |   15.0 |   33.000 |   45.455
(id_TEST_WMT_500):0 |    2 |    2 |    4 |    1 |    1 |    9.0 |   33.000 |   27.273
(id_TEST_WMT_501):0 |    3 |    1 |    1 |    0 |    0 |    5.0 |   19.000 |   26.316
(id_TEST_WMT_502):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   12.000 |    0.000
(id_TEST_WMT_503):0 |    1 |    0 |    4 |    1 |    1 |    6.0 |   14.000 |   42.857
(id_TEST_WMT_504):0 |    2 |    1 |    4 |    0 |    0 |    7.0 |   30.000 |   23.333
(id_TEST_WMT_505):0 |    0 |    0 |    4 |    0 |    0 |    4.0 |   19.000 |   21.053
(id_TEST_WMT_506):0 |    2 |    0 |    1 |    0 |    0 |    3.0 |   13.000 |   23.077
(id_TEST_WMT_507):0 |    5 |   10 |   23 |    5 |    6 |   43.0 |   79.000 |   54.430
(id_TEST_WMT_508):0 |    0 |    3 |    5 |    0 |    0 |    8.0 |   20.000 |   40.000
(id_TEST_WMT_509):0 |    0 |    0 |    0 |    1 |    3 |    1.0 |   26.000 |    3.846
(id_TEST_WMT_510):0 |    1 |    1 |    3 |    0 |    0 |    5.0 |   37.000 |   13.514
(id_TEST_WMT_511):0 |    3 |    2 |   11 |    3 |    7 |   19.0 |   60.000 |   31.667
(id_TEST_WMT_512):0 |    0 |    4 |    2 |    0 |    0 |    6.0 |   12.000 |   50.000
(id_TEST_WMT_513):0 |    2 |    0 |    4 |    0 |    0 |    6.0 |    9.000 |   66.667
(id_TEST_WMT_514):0 |    2 |    1 |    0 |    0 |    0 |    3.0 |   15.000 |   20.000
(id_TEST_WMT_515):0 |    2 |    1 |    2 |    5 |    6 |   10.0 |   39.000 |   25.641
(id_TEST_WMT_516):0 |    0 |    0 |    4 |    0 |    0 |    4.0 |   37.000 |   10.811
(id_TEST_WMT_517):0 |    0 |    0 |    2 |    1 |    1 |    3.0 |    7.000 |   42.857
(id_TEST_WMT_518):0 |    0 |   18 |    5 |    0 |    0 |   23.0 |   23.000 |  100.000
(id_TEST_WMT_519):0 |    1 |    4 |   20 |    2 |    2 |   27.0 |   52.000 |   51.923
(id_TEST_WMT_520):0 |    0 |    3 |    5 |    0 |    0 |    8.0 |   30.000 |   26.667
(id_TEST_WMT_521):0 |    1 |    0 |    1 |    0 |    0 |    2.0 |    6.000 |   33.333
(id_TEST_WMT_522):0 |    3 |    1 |    4 |    0 |    0 |    8.0 |   38.000 |   21.053
